princesa,alteza,substantivo feminino,prin-ce-sa
monologo,soliloquio.monodrama,substantivo masculino,mo-no-lo-go
prego,cavilha.parafuso.tarraxa,substantivo masculino,pre-go
rede,barga.armadilha,substantivo feminino,re-de
mordomo,caseiro,substantivo masculino,mor-do-mo
classe,estrato.camada.categoria,substantivo feminino,clas-se
barco,paquete.embarcacao.navio,substantivo masculino,bar-co
podre,putrefacto.putrido.decomposto.fetido,adjetivo de dois generos.substantivo de dois generos,po-dre
torre,campanario,substantivo feminino,tor-re
valor,importancia.merito.preco.prestimo.valia.legitimidade.estima.consideracao.relevancia,substantivo masculino,va-lor
punicao,pena.penalidade.licao.castigo,substantivo feminino,pu-ni-cao
chamada,chamado.chamamento.avocamento,substantivo feminino,cha-ma-da
revista,exame.examinacao.fiscalizacao.vistoria.inspecao,substantivo feminino,re-vis-ta
categoria,camada.classe.estrato.divisao.subdivisao,substantivo feminino,ca-te-go-ri-a
envido,envide,substantivo masculino,en-vi-do
tapecaria,alcatifa.tapete,substantivo feminino,ta-pe-ca-ri-a
peso,pesadume.macaca.jetatura.cabula.caiporismo.cafifa.urucubaca.fadiga.opressao.abatimento.incomodo,substantivo masculino,pe-so
media,inteiro,substantivo feminino,me-di-a
berco,cama.comeco.leito.nascimento.origem.procedencia.patria,substantivo masculino,ber-co
chamariz,engodo.isca,substantivo masculino,cha-ma-riz
meteorito,aerolito,substantivo masculino,me-te-o-ri-to
amputar,estropiar.decepar.mutilar,verbo transitivo direto.regular,am-pu-tar
oval,ovado,adjetivo de dois generos.substantivo feminino,o-val
coberto,obducto.velado.oculto.latente.encoberto.acacapado.tapado.resguardado.enroupado.sonegado.escondido.vestido,adjetivo.substantivo masculino,co-ber-to
fenda,racha.rombo.orificio.buraco.brecha.abertura.sulco.greta.frincha.fresta.fissura.diafragma,substantivo feminino,fen-da
procurar,esforcar.perseguir.pesquisar.atrair.investigar.buscar,verbo intransitivo.verbo transitivo direto.verbo transitivo direto e indireto.verbo transitivo indireto.regular,pro-cu-rar
afogar,estrangular.asfixiar.sufocar.mergulhar.submergir,verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,a-fo-gar
rosto,cara.face.faceta.rostro,substantivo masculino,ros-to
sermao,pregacao.predica.homilia.bronca,substantivo masculino,ser-mao
dinamite,petardo,substantivo feminino,di-na-mi-te
pugilista,boxista.boxeador,substantivo de dois generos,pu-gi-lis-ta
pomada,charlatanice.presuncao.unguento.peta.impostura.vaidade.intrujice.mentira,substantivo feminino,po-ma-da
envelope,sobrescrito,substantivo masculino,en-ve-lo-pe
refrescar,arrefecer.ventilar.refrigerar.reverdecer,verbo intransitivo.verbo pronominal.verbo transitivo direto.regular,re-fres-car
medida,escantilhao.estalao.padrao.norma.bitola.craveira,substantivo feminino,me-di-da
assobio,apito.sibilo.silvo,substantivo masculino,as-so-bi-o
injetar,inocular,verbo bitransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo direto e indireto.regular,in-je-tar
excluir,exceptuar.marcar.limitar.reservar.restringir,verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,ex-clu-ir
jaqueta,jabona.jaleca,substantivo de dois generos,ja-que-ta
ginastica,exercicio.esporte.atletismo,substantivo feminino,gi-nas-ti-ca
chines,chim,adjetivo.substantivo masculino,chi-nes
atmosfera,espaco.ar.tempo.ceu.vento.clima,substantivo feminino,at-mos-fe-ra
espectro,avantesma.avejao.fantasma.ameaca.perigo.prenuncio,substantivo masculino,es-pec-tro
mandibula,maxila.maxilar.queixada,substantivo feminino,man-di-bu-la
sal,espirito.graca.chiste,substantivo masculino,sal
mobiliario,mobilia.mobilha,adjetivo.substantivo masculino,mo-bi-li-a-ri-o
desenrolar,estender.expandir.alongar.desenvolver.desdobrar.desenroscar,verbo pronominal.verbo transitivo direto.regular,de-sen-ro-lar
treno,treinagem.treino.tremo,substantivo masculino,tre-no
peitoral,cordial,adjetivo de dois generos.substantivo de dois generos,pei-to-ral
artista,artifice,adjetivo de dois generos.substantivo de dois generos,ar-tis-ta
bairro,arrabalde.suburbio,substantivo masculino,bair-ro
coletar,juntar.reunir.recolher.receber.cobrar.acumular.obrigar.onerar.taxar.contribuir,verbo intransitivo.verbo pronominal.verbo transitivo direto.regular,co-le-tar
nacional,patrio.vernaculo,adjetivo de dois generos.substantivo masculino,na-ci-o-nal
anedota,piada.historieta.episodio.caso,substantivo feminino,a-ne-do-ta
bolso,algibeira,substantivo masculino,bol-so
irritacao,exacerbacao.exasperacao.colera,substantivo feminino,ir-ri-ta-cao
banco,assento.escabelo.mocho,substantivo de dois generos,ban-co
sobretudo,especialmente.principalmente.mormente.capa.capote.casaco,adverbio.substantivo masculino,so-bre-tu-do
egua,guincha.poldra.potra,interjeicao.substantivo feminino,e-gua
frito,perdido.prejudicado.liquidado,adjetivo.substantivo masculino,fri-to
balde,cacamba,adjetivo.substantivo masculino,bal-de
ponta,bico,substantivo de dois generos,pon-ta
curva,rodeio.desvio,substantivo feminino,cur-va
trincheira,tranqueira,substantivo feminino,trin-chei-ra
bruto,bravio.truculento.severo.selvagem.rispido.feroz.cruel.barbaro.brutal.atroz.violento,adjetivo.substantivo masculino,bru-to
plagio,plagiato.contrafaccao.imitacao,substantivo masculino,pla-gi-o
ponto,assunto.materia.objeto.tema.topico,substantivo masculino,pon-to
diplomata,educado.habil,substantivo de dois generos,di-plo-ma-ta
bebida,pocao.grito,substantivo feminino,be-bi-da
hospedagem,estalagem.pousada.albergaria.albergue.hospedaria.hospitalidade,substantivo feminino,hos-pe-da-gem
parque,tapada.logradouro,substantivo masculino,par-que
descricao,exposicao,substantivo feminino,des-cri-cao
material,materia,adjetivo de dois generos.substantivo masculino,ma-te-ri-al
novidade,nova.originalidade.fofoca.mexerico.novo,substantivo feminino,no-vi-da-de
lava,chama.fogo.torrente,substantivo feminino,la-va
colo,garganta.regaco.seio,substantivo masculino,co-lo
adivinhar,conjecturar.pressentir.pressupor.presumir.prognosticar.imaginar.julgar.supor,verbo transitivo direto.verbo transitivo direto e indireto.regular,a-di-vi-nhar
ulcera,chaga,substantivo feminino,ul-ce-ra
tomar,capturar.conquistar.beber.ingerir,verbo bitransitivo.verbo pronominal.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo direto e indireto.regular,to-mar
colher,plantar.apanhar.recolher.cultivar.colherada,substantivo feminino.verbo bitransitivo.verbo intransitivo.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo direto e indireto.regular,co-lher
floresta,bosque.brenha.mata.selva,substantivo feminino,flo-res-ta
acalmar,abrandar.adocar.amenizar.suavizar,verbo intransitivo.verbo pronominal.verbo transitivo direto.regular,a-cal-mar
coro,acompanhamento.refrao,substantivo masculino,co-ro
camada,estrato.categoria.classe,substantivo feminino,ca-ma-da
riso,risada.hilaridade,substantivo masculino,ri-so
criatura,individuo.pessoa.ser,substantivo feminino,cri-a-tu-ra
esporte,desporto,adjetivo de dois generos e dois numeros.substantivo masculino,es-por-te
rancho,fazenda.herdade.quinta,substantivo masculino,ran-cho
prata,prataria.dinheiro,substantivo feminino,pra-ta
moeda,dinheiro,substantivo feminino,mo-e-da
cola,grude,substantivo de dois generos,co-la
traseiro,posterior,adjetivo.substantivo masculino,tra-sei-ro
oleo,azeite,substantivo masculino,o-le-o
acoes,acao.ato.comportamento.titulo,substantivo feminino plural,a-coes
ceu,firmamento.tempo.paraiso.celeste,substantivo masculino,ceu
mapa,planta.relacao.carta.lista.quadro,substantivo masculino,ma-pa
escudo,brasao.egide,substantivo masculino,es-cu-do
soluco,prantina.singulto,substantivo masculino,so-lu-co
erro,equivoco.engano.desacerto.incorrecao,substantivo masculino,er-ro
biblioteca,livraria,substantivo feminino,bi-bli-o-te-ca
elefante,esmerado,substantivo masculino,e-le-fan-te
filtro,passador,substantivo masculino,fil-tro
plastico,macio.ductil.brando,adjetivo.substantivo masculino,plas-ti-co
posto,colocado.disposto,adjetivo.conjuncao.substantivo masculino,pos-to
juiz,julgador.arbitro.magistrado,substantivo masculino,ju-iz
blusa,camisa.sueter.jaqueta.jaleco.avental.bata,substantivo feminino,blu-sa
remover,afastar.transferir.demitir.revolver.remexer,verbo bitransitivo.verbo transitivo direto.regular,re-mo-ver
mercenario,interesseiro.venal,adjetivo.substantivo masculino,mer-ce-na-ri-o
fora,excepto.alem de.a excepcao de.salvo,adverbio.interjeicao.preposicao.substantivo masculino,fo-ra
sapato,calcado,substantivo masculino,sa-pa-to
funda,fundibulo,substantivo feminino,fun-da
verdor,vico.vicoso,substantivo masculino,ver-dor
rocha,penedo.penha.penhasco.fraga.rochedo,substantivo feminino,ro-cha
ofensivo,agressivo.hostil.invasivo,adjetivo,o-fen-si-vo
anotar,assentar.apontar.consignar.inscrever.registrar,verbo transitivo direto.regular,a-no-tar
carteira,banca.mesa.secretaria,substantivo feminino,car-tei-ra
computador,calculador.calculista.pc,substantivo masculino,com-pu-ta-dor
cranio,cabeca.caveira,adjetivo.substantivo masculino,cra-ni-o
vinho,pinga,adjetivo de dois generos e dois numeros.substantivo masculino,vi-nho
desenho,esboco.escorco.estampa.figura.tracado.gravura.ilustracao.imagem,substantivo masculino,de-se-nho
sonhar,idear.devanear.fantasiar,verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo indireto.regular,so-nhar
lesbica,lesbiana,substantivo feminino,les-bi-ca
consulta,parecer.conselho.opiniao,substantivo feminino,con-sul-ta
guincho,berro.grito.guindaste,substantivo masculino,guin-cho
ousar,arriscar.arrojar.tentar.decidir.atrever.intentar.empreender,verbo intransitivo.verbo transitivo direto.verbo transitivo indireto.regular,ou-sar
surdo,mouco,adjetivo.substantivo masculino,sur-do
bochecha,engano.burla.mentira,substantivo feminino,bo-che-cha
motor,causador.agente.impulsor.mobil,adjetivo.substantivo masculino,mo-tor
inflamacao,escandescencia.ardor.calor.infeccao.incendimento,substantivo feminino,in-fla-ma-cao
aerossol,nebulizador,substantivo masculino,a-e-ros-sol
documento,escritura.instrucao.titulo.instrumento.ordem.demonstracao.prova.preceito.papel.exemplo,substantivo masculino,do-cu-men-to
dobrado,agachado.alapado.encolhido.vergado,adjetivo.substantivo masculino,do-bra-do
marido,esposo,substantivo masculino,ma-ri-do
costa,praia.litoral.dorso.declive.lombo.marinha,substantivo feminino,cos-ta
pe,calcante.causa.condicao.ensejo.motivo.pretexto.razao.situacao.pata.base.verso,substantivo masculino,pe
idade,epoca.era.estacao.quadra.velhice,substantivo feminino,i-da-de
creme,nata,adjetivo de dois generos e dois numeros.substantivo masculino,cre-me
completo,lotado.acabado.farto.cheio.atestado.abarrotado.repleto.terminado.concluido.feito,adjetivo.substantivo masculino,com-ple-to
candelabro,lampadario.lustre,substantivo masculino,can-de-la-bro
celula,particula.alveolo.corpusculo,substantivo feminino,ce-lu-la
arbitro,avaliador.louvado.perito.juiz,substantivo masculino,ar-bi-tro
balanca,embalo,substantivo feminino,ba-lan-ca
milho,dinheiro,adjetivo.substantivo masculino,mi-lho
primo,essencial.fundamental.indispensavel.primeiro,adjetivo.adverbio.substantivo masculino,pri-mo
madeira,pau.lenha.lenho,substantivo de dois generos,ma-dei-ra
poema,cantico.epopeia.hino.ode.salmo,substantivo masculino,po-e-ma
nota,anotacao.apontamento.assentamento.comentario.cedula.dinheiro.ementa.lembrete.marca.observacao,substantivo feminino,no-ta
orbita,trajectoria,substantivo feminino,or-bi-ta
longe,distanciado,adjetivo de dois generos.adverbio.interjeicao.substantivo masculino,lon-ge
guilhotina,forca.patibulo.cadafalso,substantivo feminino,gui-lho-ti-na
pano,fazenda.lado.lanco.superficie.tecido.tela,adjetivo de dois generos.substantivo de dois generos,pa-no
membrana,tunica,substantivo feminino,mem-bra-na
quadril,ilharga.cadeira.anca,substantivo masculino,qua-dril
lareira,borralho,substantivo feminino,la-rei-ra
serra,montanha.monte.morro.cordilheira,substantivo de dois generos,ser-ra
borboleta,mariposa.charneira.catraca,substantivo de dois generos,bor-bo-le-ta
ratoeira,cilada.emboscada.ardil,substantivo feminino,ra-to-ei-ra
infusao,cozimento,substantivo feminino,in-fu-sao
biscoito,bolacha,adjetivo de dois generos e dois numeros.substantivo masculino,bis-coi-to
erupcao,focagem.sarna,substantivo feminino,e-rup-cao
mercado,bazar.praca,substantivo masculino,mer-ca-do
automatico,maquinal,adjetivo.substantivo masculino,au-to-ma-ti-co
ombro,espadua,substantivo masculino,om-bro
entrar,ingressar.contribuir.adentrar.invadir.subscrever.calar.iniciar.comecar.meter.introduzir.enfiar.transpor.penetrar.embarafustar,verbo intransitivo.verbo pronominal.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo indireto.regular,en-trar
salvar,auxiliar.felicitar.cumprimentar.congratular.socorrer.coadjuvar.ajudar.acudir.acolitar.saudar,verbo bitransitivo.verbo intransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.irregular,sal-var
cupido,amor,substantivo masculino,cu-pi-do
corneta,trombeta.tuba,adjetivo de dois generos.substantivo de dois generos,cor-ne-ta
morto,cadaver.defunto.sucumbido,adjetivo.substantivo masculino,mor-to
industria,fabrica.manufatura,substantivo feminino,in-dus-tri-a
doce,aprazivel.meigo.harmonioso.brando.afavel.rebucado.gulosice.guloseima.gulodice.gula.terno,adjetivo de dois generos.substantivo masculino,do-ce
caspa,carepa,substantivo feminino,cas-pa
convento,mosteiro.santuario.claustro.clausura.penitenciaria,substantivo masculino,con-ven-to
video,filme.fita.cassete.clipe.videoclipe.televisao.monitor.televisor,substantivo masculino,vi-de-o
acougueiro,magarefe.carniceiro,substantivo masculino,a-cou-guei-ro
bandeja,tabuleiro.salva,substantivo feminino,ban-de-ja
laringe,garganta,substantivo de dois generos,la-rin-ge
castelo,fortaleza.forte,substantivo masculino,cas-te-lo
baixo,plebeu.inferior.ordinario.grave.reles.insignificante,adjetivo.adverbio.substantivo masculino,bai-xo
aviador,aeronauta,adjetivo.substantivo masculino,a-vi-a-dor
outono,ocaso,substantivo masculino,ou-to-no
imitacao,plagio.contrafaccao.copia.reproducao.traslado,substantivo feminino,i-mi-ta-cao
depressao,abatimento.abaixamento.humilhacao,substantivo feminino,de-pres-sao
real,genuino.autentico.fidedigno.verdadeiro.veridico,adjetivo de dois generos.substantivo de dois generos,re-al
monarquia,reino,substantivo feminino,mo-nar-qui-a
laco,lacada.no.uniao.vinculo.prisao.alianca.enlacadura,substantivo masculino,la-co
padaria,panificacao,substantivo feminino,pa-da-ri-a
gladiador,pelejador.pugnador.combatente.batalhador.lidador.lutador,substantivo masculino,gla-di-a-dor
agricultor,colono.cultivador.cultor.lavrador,adjetivo.substantivo masculino,a-gri-cul-tor
girafa,grande.alto.comprido,substantivo feminino,gi-ra-fa
aplicacao,emprego,substantivo feminino,a-pli-ca-cao
perfurar,abrir.furar.penetrar.terebrar.transfixar.escavar.cavar,verbo transitivo direto.regular,per-fu-rar
desligar,desagarrar.despegar.soltar.desatrelar.desenganchar.desengatar.desprender,verbo bitransitivo.verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,des-li-gar
cova,algar.gruta.furna.fossa.covil.cavidade.caverna.catacumba.antro.lapa,substantivo feminino,co-va
adocar,abrandar.acalmar.amenizar.suavizar,verbo pronominal.verbo transitivo direto.regular,a-do-car
barril,barrica.pipa.tonel,substantivo masculino,bar-ril
romance,novela,adjetivo de dois generos.substantivo masculino,ro-man-ce
escape,evasao.fuga,adjetivo de dois generos.substantivo masculino,es-ca-pe
critico,exegeta.abalizador.ajuizador.avaliador.comentador.analista.censor,adjetivo.substantivo masculino,cri-ti-co
cercado,cingido.circunvalado.encurralado.ladeado.sitiado,adjetivo.substantivo masculino,cer-ca-do
argentino,patagao.prateado.argenteo.patagonio,adjetivo.substantivo masculino,ar-gen-ti-no
clava,cachamorra.maca.tacape,substantivo feminino,cla-va
jantar,boiar,substantivo masculino.verbo intransitivo.verbo transitivo direto.regular,jan-tar
ar,aparencia.respiracao.folego.vento.razao.semblante.fisionomia.figura.aspecto.atmosfera,substantivo masculino,ar
dobradica,charneira.gonzo,substantivo feminino,do-bra-di-ca
ouvir,escutar.auscultar,verbo intransitivo.verbo transitivo direto.verbo transitivo indireto.irregular,ou-vir
peruano,peruviano,adjetivo.substantivo masculino,pe-ru-a-no
febre,temperatura.interesse.desejo.sonho.inquietacao.agitacao.excitacao.moda.entusiasmo.mania.malaria.maleita.sezao,adjetivo de dois generos.substantivo de dois generos,fe-bre
raio,relampago,interjeicao.substantivo masculino,rai-o
natureza,natura.essencia.tipo.carater,substantivo feminino,na-tu-re-za
vaso,frasco.alcatruz.jarra.jarro,substantivo masculino,va-so
apendice,apenso.complemento.acessorio.acrescimo.prolongamento.adendo.anexo,substantivo masculino,a-pen-di-ce
nostalgia,abatimento.melancolia.tristeza,substantivo feminino,nos-tal-gi-a
governo,administracao.gestao.governanca,substantivo masculino,go-ver-no
decoracao,embelezamento.enfeite.ornamentacao.memorizacao,substantivo feminino,de-co-ra-cao
dicionario,lexico.glossario,substantivo masculino,di-ci-o-na-ri-o
escurecer,abacanar.amorenar.ensombrar.enturvar.negrejar.sombrear.ofuscar.turvar,verbo intransitivo.verbo pronominal.verbo transitivo direto.regular,es-cu-re-cer
cliente,constituinte.fregues,substantivo de dois generos,cli-en-te
pirata,corsario,adjetivo de dois generos.substantivo de dois generos,pi-ra-ta
epitafio,epigrafe.inscricao.louvor.enaltecimento.tumulo.lapide.sepulcro,substantivo masculino,e-pi-ta-fi-o
juri,julgamento.banca,substantivo masculino,ju-ri
autopsia,necropsia.autopse.autopsia,substantivo feminino,au-top-si-a
presidente,chefe.dirigente,adjetivo de dois generos.substantivo de dois generos,pre-si-den-te
parceria,sociedade.acordo.uniao.companhia,substantivo feminino,par-ce-ri-a
continuar,proceder.progredir.prosseguir.avancar.seguir,verbo intransitivo.verbo predicativo.verbo pronominal.verbo transitivo circunstancial.verbo transitivo direto.verbo transitivo direto e circunstancial.verbo transitivo indireto.regular,con-ti-nu-ar
esfregar,rostir.cocar.friccionar.rocar.arear,verbo pronominal.verbo transitivo direto.verbo transitivo direto e indireto.regular,es-fre-gar
importacao,exportacao,substantivo feminino,im-por-ta-cao
cantor,canconetista.bardo.aedo,adjetivo.substantivo masculino,can-tor
largura,largueza,substantivo feminino,lar-gu-ra
magico,mago.feiticeiro,adjetivo.substantivo masculino,ma-gi-co
elevacao,evidencia.distincao.eminencia.realce.relevo.saliencia,substantivo feminino,e-le-va-cao
toque,contato,substantivo masculino,to-que
